bgc_id,organism,biosynth_class,n_genes,novelty_hashed,novelty_learned,novelty_esm
BGC0001318,Manihot esculenta,other,16,0.11081593927893738,0.9721062618595826,0.9062618595825427
BGC0000933,Streptomyces xiamenensis,other,5,0.15180265654648956,0.9721062618595826,0.5810246679316888
BGC0002225,Aspergillus aculeatus ATCC 16872,terpene,8,0.24724857685009488,0.9717267552182163,0.5967741935483871
BGC0000876,Streptomyces tendae,other,8,0.32751423149905123,0.971157495256167,0.3941176470588236
BGC0000382,Streptomyces toxytricini,NRPS,14,0.4,0.971157495256167,0.7988614800759013
BGC0001903,Streptomyces sp. MA37,other,10,0.642314990512334,0.9705882352941176,0.44098671726755223
BGC0001225,Streptomyces caelestis,NRPS,24,0.31119544592030357,0.9702087286527514,0.29070208728652747
BGC0001526,Synechocystis salina LEGE 06099,other,10,0.6965844402277039,0.9700189753320683,0.6709677419354838
BGC0003100,Peptostreptococcaceae    bacterium AS15,RiPP,11,0.17419354838709677,0.9683111954459203,0.889943074003795
BGC0002721,Hordeum vulgare subsp. vulgare,other,4,0.21157495256166983,0.9681214421252372,0.9309297912713472
BGC0000679,Micromonospora sp. M42,terpene,40,0.4426944971537002,0.9679316888045542,0.1432637571157495
BGC0001816,Shuttle vector AtFAC9J20,hybrid,16,0.7222011385199241,0.967741935483871,0.3047438330170778
BGC0000836,Escherichia coli CFT073,other,19,0.5229601518026565,0.9666034155597722,0.7635673624288425
BGC0000837,Aliivibrio fischeri ES114,other,20,0.5667931688804554,0.9664136622390891,0.8153700189753321
BGC0000870,Mycobacterium tuberculosis H37Rv,other,4,0.02409867172675522,0.9658444022770398,0.960910815939279
BGC0000193,Streptomyces galilaeus,PKS,13,0.1396584440227704,0.9652751423149906,0.22884250474383303
BGC0002391,Zea mays,terpene,2,0.23529411764705882,0.964326375711575,0.9834914611005693
BGC0001896,Streptomyces luteoverticillatus,other,7,0.2648956356736243,0.964326375711575,0.4461100569259962
BGC0001138,Marinactinospora thermotolerans,other,37,0.710246679316888,0.9639468690702088,0.3155597722960152
BGC0000924,Pseudomonas chlororaphis,other,4,0.04990512333965845,0.9639468690702087,0.9172675521821632
BGC0002073,Corynebacterium propinquum,NRPS,7,0.14193548387096774,0.9631878557874762,0.901518026565465
BGC0001325,Papaver somniferum,other,10,0.17096774193548386,0.9629981024667932,0.9345351043643264
BGC0002962,Nodularia sphaerocarpa UHCC 0038,NRPS,27,0.5937381404174573,0.962618595825427,0.2622390891840607
BGC0002207,Psilocybe cyanescens,other,8,0.20360531309297913,0.9624288425047438,0.6275142314990513
BGC0002591,Streptomyces sp.,hybrid,15,0.3064516129032258,0.9624288425047438,0.39146110056926
BGC0002670,Fusarium oxysporum f. sp. lycopersici 4287,other,13,0.13927893738140418,0.9622390891840606,0.42296015180265656
BGC0002403,Hordeum vulgare subsp. vulgare,PKS,4,0.12447817836812144,0.9618595825426945,0.9500948766603416
BGC0000843,Streptomyces clavuligerus ATCC 27064,other,16,0.2821631878557875,0.9612903225806452,0.34705882352941175
BGC0000914,Streptomyces coelicolor A3(2),other,21,0.9937381404174572,0.9612903225806452,0.45635673624288425
BGC0000869,Nostoc sp. 'Peltigera membranacea cyanobiont',other,7,0.30777988614800755,0.9612903225806451,0.8648956356736244
BGC0000812,Shiraia sp. slf14,other,13,0.38690702087286527,0.9611005692599621,0.7104364326375712
BGC0001684,Klebsiella variicola,other,4,0.09734345351043644,0.960910815939279,0.8003795066413663
BGC0001687,uncultured bacterium CSL12,other,32,0.9607210626185958,0.9607210626185958,0.7645161290322581
BGC0001989,Kluyveromyces lactis,other,4,0.05351043643263757,0.9603415559772296,0.9489563567362429
BGC0000922,Pseudomonas aeruginosa PAO1,PKS,11,0.22314990512333965,0.9601518026565465,0.793168880455408
BGC0000196,Photorhabdus laumondii subsp. laumondii TTO1,PKS,8,0.30702087286527513,0.9597722960151802,0.8083491461100569
BGC0002573,Streptomyces mozunensis,other,5,0.038899430740037946,0.9597722960151802,0.4223908918406072
BGC0002321,Metschnikowia aff. pulcherrima,other,4,0.13908918406072107,0.959582542694497,0.9483870967741935
BGC0002008,Xenorhabdus doucetiae,other,18,0.652561669829222,0.959392789373814,0.7504743833017078
BGC0002249,Arthrinium phaeospermum,PKS,2,0.011764705882352941,0.9590132827324478,0.9971537001897532
BGC0001458,Salinispora tropica CNB-440,other,9,0.33434535104364327,0.9586337760910817,0.46660341555977225
BGC0001809,Bacillus thuringiensis serovar chinensis CT-43,other,2,0.08766603415559773,0.9563567362428842,0.9470588235294117
BGC0000861,Shewanella sp. BR-2,other,6,0.2853889943074004,0.9563567362428842,0.7831119544592031
BGC0000700,Streptomyces tenjimariensis,other,67,0.5994307400379506,0.9557874762808349,0.38406072106261857
BGC0000898,Streptomyces venezuelae,other,9,0.20759013282732447,0.9555977229601518,0.45275142314990513
BGC0002631,Pyxidicoccus fallax,RiPP,3,0.22163187855787475,0.9552182163187856,0.9261859582542695
BGC0000595,Streptomyces coelicolor A3(2),RiPP,14,0.8612903225806452,0.9552182163187856,0.595066413662239
BGC0002872,Curvularia lunata ATCC 74067,PKS,16,0.5222011385199241,0.95426944971537,0.28823529411764703
BGC0002020,Photorhabdus laumondii subsp. laumondii TTO1,NRPS,5,0.18007590132827325,0.9540796963946869,0.9349146110056926
BGC0001154,Catenulispora acidiphila DSM 44928,other,14,0.7850094876660342,0.9533206831119545,0.4440227703984819
BGC0000865,Photobacterium profundum SS9,other,19,0.7783681214421252,0.9533206831119545,0.6499051233396584
BGC0002669,Streptomyces sp. NRRL S-87,RiPP,42,0.7286527514231499,0.9531309297912713,0.5296015180265654
BGC0003044,Nostoc   sp. KVJ20,NRPS,31,0.6504743833017078,0.952561669829222,0.3129032258064516
BGC0002128,Streptomyces coelicolor A3(2),other,9,0.8943074003795066,0.952561669829222,0.6157495256166983
BGC0001810,Polymorphospora rubra,PKS,12,0.322011385199241,0.9523719165085389,0.6161290322580645
BGC0003130,Arthrobotrys oligospora ATCC 24927,NRPS,11,0.40037950664136623,0.9521821631878558,0.6905123339658443
BGC0000244,Streptomyces griseus subsp. griseus,PKS,6,0.22751423149905123,0.9518026565464895,0.7806451612903226
BGC0002436,Streptomyces citricolor,other,18,0.19070208728652752,0.9514231499051233,0.4244781783681214
BGC0002390,Zea mays,terpene,19,0.43434535104364325,0.9510436432637571,0.9292220113851992
BGC0002499,Streptomyces achromogenes subsp. streptozoticus,hybrid,24,0.4844402277039848,0.9502846299810247,0.24193548387096775
BGC0002284,Rhodococcus sp. H-CA8f,other,15,0.1952561669829222,0.9502846299810246,0.6990512333965844
BGC0001872,Xenorhabdus bovienii SS-2004,PKS,10,0.42011385199240986,0.9500948766603416,0.6918406072106262
BGC0001712,Aspergillus steynii IBT 23096,other,17,0.5309297912713472,0.9500948766603415,0.31290322580645163
BGC0002991,Streptomyces tubbatahanensis  strain DSD3025,PKS,14,0.3732447817836812,0.9495256166982923,0.379696394686907
BGC0001286,Ustilago maydis,other,7,0.22694497153700188,0.9495256166982922,0.7888045540796964
BGC0001375,Penicillium simplicissimum,terpene,5,0.359392789373814,0.9483870967741935,0.7531309297912714
BGC0000727,Streptomyces aureofaciens,other,29,0.31195445920303605,0.9470588235294117,0.26337760910815944
BGC0000698,Streptomyces hygroscopicus,other,29,0.5425047438330171,0.9462998102466793,0.08481973434535105
BGC0001315,Cucumis sativus,terpene,6,0.10815939278937381,0.9453510436432637,0.9605313092979126
BGC0001848,Micromonospora sp. B006,other,50,0.6459203036053132,0.9447817836812145,0.10113851992409867
BGC0002608,Aspergillus steynii,hybrid,1,0.48975332068311195,0.9445920303605313,0.9872865275142315
BGC0001239,Aspergillus nidulans,other,3,0.06679316888045542,0.9444022770398481,0.977988614800759
BGC0002464,Bordetella pertussis Tohama I,other,8,0.15483870967741936,0.9438330170777989,0.8571157495256168
BGC0000833,Streptomyces rishiriensis,other,32,0.6707779886148008,0.9432637571157496,0.1349146110056926
BGC0000897,Streptomyces luridus,other,17,0.4,0.9428842504743833,0.36717267552182165
BGC0000862,Shewanella pneumatophori,other,9,0.422011385199241,0.9428842504743833,0.7398481973434535
BGC0000283,Actinomyces sp. Lu 9419,other,31,0.4381404174573055,0.9425047438330171,0.30777988614800755
BGC0003084,Saccharopolyspora  antimicrobica DSM 45119,NRPS,2,0.1984819734345351,0.9421252371916509,0.9011385199240987
BGC0001924,Acremonium egyptiacum,terpene,3,0.4502846299810247,0.9419354838709677,0.6776091081593928
BGC0002648,Shewanella sp. N2AIL,PKS,6,0.41385199240986714,0.9417457305502847,0.7990512333965845
BGC0000921,Pseudomonas putida,hybrid,15,0.42827324478178364,0.9409867172675521,0.7037950664136623
BGC0000899,Streptomyces narbonensis,other,13,0.40094876660341555,0.9409867172675521,0.33301707779886147
BGC0002262,Hypomontagnella monticulosa,PKS,16,0.3036053130929791,0.9404174573055029,0.37020872865275145
BGC0000668,Hapalosiphon welwitschii UTEX B 1830,terpene,30,0.2301707779886148,0.9404174573055029,0.027134724857685012
BGC0002099,Planomonospora sp. ID107089,RiPP,2,0.19165085388994307,0.9402277039848197,0.932258064516129
BGC0001535,Streptomyces filamentosus,other,3,0.047628083491461096,0.9392789373814042,0.9394686907020873
BGC0002692,Kribbella speibonae,other,9,0.1793168880455408,0.9392789373814041,0.6370018975332068
BGC0001485,Actinoplanes tsinanensis,other,10,0.26072106261859584,0.938899430740038,0.3804554079696395
BGC0002080,Stieleria maiorica,other,20,0.2891840607210626,0.9385199240986717,0.9851992409867173
BGC0003089,Streptomyces griseus IFO13350,PKS,6,0.36679316888045543,0.9383301707779886,0.942314990512334
BGC0003080,Streptomyces monomycini NRRL B-24309,NRPS,4,0.22314990512333965,0.9379506641366224,0.757495256166983
BGC0002458,Streptacidiphilus griseoplanus,NRPS,3,0.12770398481973436,0.9377609108159393,0.8111954459203036
BGC0000893,Streptomyces venezuelae ATCC 10712,NRPS,17,0.40398481973434536,0.9375711574952561,0.3459203036053131
BGC0000712,Streptomyces rimosus subsp. paromomycinus,other,40,0.5994307400379506,0.93719165085389,0.2673624288425047
BGC0000141,Streptomyces achromogenes subsp. rubradiris,PKS,58,0.8804554079696395,0.9370018975332068,0.1855787476280835
BGC0003079,Streptomyces flavidovirens DSM 40150,NRPS,2,0.2514231499051234,0.9366223908918406,0.9946869070208728
BGC0000919,Pseudomonas syringae,other,6,0.07590132827324478,0.9362428842504744,0.8354838709677419
BGC0002645,Pseudomonas aeruginosa PAO1,other,5,0.07590132827324478,0.9360531309297913,0.8717267552182164
BGC0002085,Micromonospora carbonacea,other,50,0.9692599620493358,0.9360531309297913,0.1808349146110057
BGC0001316,Lotus japonicus,other,24,0.17191650853889945,0.935673624288425,0.940607210626186
BGC0000864,Moritella marina ATCC 15381,other,22,0.41157495256166987,0.935483870967742,0.7789373814041746
BGC0002657,Streptomyces spectabilis,hybrid,70,0.8851992409867173,0.935483870967742,0.283111954459203
BGC0000701,Streptomyces hygroscopicus subsp. yingchengensis,other,3,0.11157495256166983,0.9343453510436432,0.7960151802656547
BGC0002362,Micromonospora endolithica,PKS,25,0.27703984819734345,0.9335863377609108,0.6952561669829223
BGC0000832,Streptomyces roseochromogenus subsp. oscitans DS 12.976,other,28,0.8664136622390892,0.9332068311195446,0.2445920303605313
BGC0000016,Streptomyces nodosus,other,3,0.39601518026565463,0.9328273244781784,0.7870967741935484
BGC0002195,Aspergillus oryzae RIB40,other,3,0.06546489563567362,0.9318785578747628,0.8677419354838709
BGC0002149,Aspergillus alliaceus ATCC 20738,hybrid,10,0.21631878557874762,0.9318785578747628,0.5176470588235293
BGC0000819,Penicillium fellutanum,NRPS,15,0.6381404174573055,0.9313092979127136,0.36603415559772295
BGC0002804,Pseudomonas protegens CHA0,other,11,0.34895635673624287,0.930360531309298,0.747438330170778
BGC0000849,Streptomyces coelicolor A3(2),other,2,0.8506641366223909,0.930360531309298,0.9571157495256166
BGC0000019,Streptomyces eurythermus,PKS,13,0.5633776091081594,0.9299810246679316,0.31574952561669833
BGC0002545,Micromonospora sp.,PKS,31,0.288045540796964,0.9299810246679316,0.22447817836812145
BGC0001302,Streptomyces lomondensis,other,23,0.3740037950664137,0.9297912713472486,0.4113851992409867
BGC0001262,Alternaria alternata,PKS,6,0.23662239089184062,0.9288425047438331,0.7091081593927894
BGC0000834,Streptomyces niveus,other,20,0.2700189753320683,0.9282732447817836,0.14686907020872864
BGC0001444,Streptomyces sp. NTK 937,other,9,0.24573055028462998,0.926944971537002,0.6271347248576851
BGC0001292,Streptomyces sp. NRRL 12068,other,23,0.5979127134724858,0.9267552182163188,0.13074003795066413
BGC0000288,Streptomyces sp. SANK 62799,NRPS,55,0.6738140417457306,0.9263757115749526,0.19449715370018975
BGC0001757,Xenorhabdus nematophila ATCC 19061,other,3,0.04573055028462998,0.9263757115749526,0.7364326375711575
BGC0001035,Glarea lozoyensis ATCC 20868,hybrid,31,0.6407969639468691,0.9258064516129032,0.4311195445920304
BGC0001996,Aspergillus oryzae RIB40,other,16,0.176280834914611,0.9258064516129032,0.40227703984819735
BGC0000255,Uncultured bacterium,PKS,8,0.2127134724857685,0.9258064516129032,0.6703984819734345
BGC0002136,Gynuella sunshinyii YC6258,hybrid,46,0.9510436432637571,0.9252371916508539,0.7527514231499052
BGC0000282,Streptomyces griseus subsp. griseus NBRC 13350,PKS,3,0.29924098671726757,0.9252371916508539,0.9637571157495257
BGC0001373,Sordaria araneosa,PKS,34,0.9185958254269451,0.9252371916508539,0.2671726755218216
BGC0003070,Streptomyces sp. JJC13,PKS,32,0.8910815939278938,0.9244781783681215,0.0825426944971537
BGC0002034,Streptomyces sp. IB2014 016-6,other,14,0.39962049335863375,0.9244781783681214,0.22903225806451613
BGC0003067,Streptomyces griseus DSM 40695 or Tü 10 or ETH 7796,PKS,14,0.3717267552182163,0.9233396584440228,0.24060721062618595
BGC0000252,Streptomyces griseus subsp. griseus,PKS,14,0.3721062618595825,0.9229601518026566,0.2409867172675522
BGC0002681,Francisella tularensis subsp. tularensis SCHU S4,other,7,0.09222011385199241,0.9227703984819735,0.9538899430740038
BGC0002959,Streptomyces albospinus  JCM3399,PKS,14,0.35066413662239093,0.9225806451612903,0.5637571157495256
BGC0001379,Streptomyces luteocolor,NRPS,28,0.5944971537001897,0.9225806451612903,0.076280834914611
BGC0002060,Pseudomonas syringae pv. syringae B728a,PKS,25,0.9654648956356736,0.9223908918406072,0.5996204933586338
BGC0000798,Sorghum bicolor,other,5,0.1381404174573055,0.922201138519924,0.9700189753320683
BGC0003165,Streptomyces luteocolor BD-12,NRPS,26,0.5939278937381405,0.922201138519924,0.07741935483870968
BGC0002283,Serratia plymuthica,terpene,4,0.38937381404174576,0.9218216318785579,0.7905123339658444
BGC0002482,Symphyonema bifilamentata 97.28,other,10,0.17077798861480076,0.9218216318785579,0.7770398481973435
BGC0001778,Streptomyces showdoensis,other,17,0.2599620493358634,0.9210626185958255,0.19943074003795067
BGC0001850,Streptomyces sp. F001,other,20,0.4385199240986717,0.9206831119544592,0.2256166982922201
BGC0001281,Ustilago maydis 521,PKS,114,0.8172675521821632,0.9206831119544592,0.7851992409867172
BGC0003075,Kutzneria albida DSM 43870,PKS,15,0.34743833017077796,0.920493358633776,0.22713472485768502
BGC0000259,Serratia marcescens,PKS,16,0.34990512333965845,0.9201138519924099,0.6094876660341556
BGC0002404,Solanum lycopersicum,other,4,0.17077798861480076,0.9195445920303605,0.9563567362428842
BGC0001948,Streptomyces sp.,other,3,0.09108159392789374,0.9195445920303605,0.8931688804554079
BGC0000871,Myxococcus xanthus DK 1622,other,5,0.2127134724857685,0.9195445920303604,0.9089184060721063
BGC0002508,Streptomyces pathocidini,other,11,0.0349146110056926,0.9193548387096775,0.5757115749525616
BGC0001987,Pseudomonas koreensis,PKS,11,0.4741935483870968,0.9193548387096775,0.7024667931688804
BGC0001651,Tannerella forsythia 92A2,other,12,0.22675521821631878,0.9182163187855787,0.6563567362428843
BGC0002405,Solanum lycopersicum,other,4,0.4603415559772296,0.9180265654648956,0.9641366223908918
BGC0000942,Bacillus anthracis str. Ames,other,6,0.14383301707779886,0.9172675521821632,0.9789373814041746
BGC0001725,Bacillus megaterium,other,4,0.008349146110056925,0.9172675521821632,0.8850094876660342
BGC0002929,Dictyostelium discoideum AX4,PKS,1,0.5914611005692599,0.9168880455407971,0.9950664136622391
BGC0001483,Streptomyces sp. RM-5-8,other,21,0.2030360531309298,0.9157495256166983,0.46660341555977225
BGC0000826,Streptomyces clavuligerus ATCC 27064,other,17,0.6648956356736243,0.9157495256166983,0.5240986717267553
BGC0001869,Xenorhabdus szentirmaii DSM 16338,NRPS,12,0.5702087286527515,0.9157495256166983,0.7125237191650854
BGC0001377,Streptomyces uncialis,PKS,32,0.6736242884250474,0.9155597722960152,0.29525616698292223
BGC0000884,Pseudomonas syringae pv. syringae,other,3,0.18538899430740038,0.915370018975332,0.7180265654648956
BGC0002536,Kitasatospora azatica KCTC 9699,NRPS,20,0.6908918406072106,0.915370018975332,0.4314990512333966
BGC0001882,Penicillium rubens Wisconsin 54-1255,PKS,23,0.33529411764705885,0.915180265654649,0.3455407969639469
BGC0002004,Methylosinus trichosporium OB3b,RiPP,6,0.10170777988614801,0.9148007590132827,0.8436432637571158
BGC0000709,Streptomyces fradiae ATCC 10745 = DSM 40063,other,38,0.4258064516129032,0.9146110056925996,0.4550284629981025
BGC0003088,Penicillium brocae MA-231,terpene,8,0.2481973434535104,0.9136622390891841,0.5734345351043644
BGC0000895,Lactobacillus plantarum subsp. plantarum,other,11,0.1430740037950664,0.9130929791271347,0.9935483870967742
BGC0000281,Pseudomonas fluorescens,PKS,8,0.044781783681214424,0.9125237191650855,0.7768500948766603
BGC0001571,Nodulisporium sp.,terpene,26,0.8316888045540797,0.9119544592030361,0.4316888045540797
BGC0001361,Serratia plymuthica 4Rx13,terpene,4,0.4332068311195446,0.9115749525616699,0.7857685009487666
BGC0001588,Burkholderia pseudomallei 1026b,other,20,0.6244781783681215,0.9110056925996205,0.7
BGC0002254,Aspergillus sp. FM242,PKS,18,0.36755218216318786,0.9110056925996205,0.4299810246679317
BGC0001868,Xenorhabdus szentirmaii DSM 16338,other,11,0.12447817836812144,0.9098671726755219,0.7208728652751424
BGC0002943,Marinomonas fungiae JCM 18476,RiPP,4,0.13301707779886146,0.9094876660341555,0.8383301707779887
BGC0002019,Streptomyces sp. CB03234,terpene,23,0.9039848197343453,0.9087286527514231,0.23225806451612901
BGC0000187,Streptomyces nodosus subsp. asukaensis,PKS,62,0.7301707779886148,0.9074003795066414,0.051233396584440226
BGC0000840,Xanthomonas oryzae pv. oryzae,other,14,0.596584440227704,0.9072106261859583,0.891650853889943
BGC0001060,Micromonospora chersina,PKS,59,0.6666034155597723,0.9058823529411765,0.11366223908918406
BGC0003156,Streptomyces  TP-A0356,NRPS,21,0.38462998102466794,0.9055028462998103,0.16223908918406074
BGC0002242,Aspergillus ustus,NRPS,4,0.41518026565464894,0.9041745730550285,0.45635673624288425
BGC0000953,Streptomyces vinaceusdrappus,other,24,0.7058823529411764,0.9039848197343454,0.22884250474383303
BGC0002476,Escherichia coli str. K-12 substr. MG1655,NRPS,10,0.40360531309297915,0.9036053130929791,0.8096774193548387
BGC0002084,Planomonospora sp. ID82291,RiPP,2,0.19165085388994307,0.9028462998102467,0.9246679316888046
BGC0001490,Hormoscilla spongeliae SP4,other,8,0.4840607210626186,0.9022770398481974,0.8447817836812144
BGC0001972,Streptomyces hiroshimensis,other,28,0.540796963946869,0.9020872865275142,0.29259962049335864
BGC0002716,Photorhabdus laumondii subsp. laumondii,NRPS,37,0.686527514231499,0.9020872865275142,0.6333965844402277
BGC0001084,Aspergillus sp. MF297-2,hybrid,18,0.5705882352941176,0.9009487666034155,0.34307400379506636
BGC0002906,Arabidopsis thaliana ,terpene,22,0.5161290322580645,0.9007590132827324,0.9261859582542694
BGC0001238,Aspergillus nidulans,other,3,0.04554079696394687,0.9007590132827324,0.9428842504743833
BGC0000842,Streptomyces argenteolus,other,29,0.12827324478178367,0.9005692599620494,0.33529411764705885
BGC0001480,Methylobacter tundripaludum 21/22,other,18,0.7024667931688804,0.9005692599620494,0.679696394686907
BGC0001863,Bacillus mycoides,hybrid,12,0.8406072106261859,0.9003795066413662,0.6104364326375712
