rank,bgc_id,organism,biosynth_class,novelty,knn_mean_dist,nearest_dist,nearest_mibig,neighbor_class,compounds,n_genes
17,BGC0002978,Streptomyces sp SNJ018,NRPS,0.9938428105758783,38.14770198762417,0.12152774631977081,BGC0002868,NRPS,Lenziamide B,26
18,BGC0002850,Streptomyces  PC5,NRPS,0.9936617167692865,38.15318278670311,0.16235947608947754,BGC0002868,NRPS,Lenziamide A;Lenziamide B,22
19,BGC0002089,Streptomyces scabiei 87.22,NRPS,0.9934806229626947,45.46301193237305,43.456878662109375,BGC0000660,terpene,thaxtomin D;thaxtomin A;thaxtomin C;thaxtomin B,12
20,BGC0002868,Streptomyces sp PC5,NRPS,0.9934806229626947,38.13743921816349,0.12152774631977081,BGC0002978,NRPS,Lenziamide A,22
21,BGC0001194,Streptomyces scabrisporus,PKS,0.993118435349511,41.23745880126953,24.557483673095703,BGC0001597,PKS,hitachimycin,22
22,BGC0000194,Streptomyces coelicolor A3(2),PKS,0.9923940601231438,39.248443603515625,37.26632308959961,BGC0000849,other,actinorhodin,22
23,BGC0001597,Actinomadura fulva subsp. indica,PKS,0.992212966316552,38.31154327392578,24.557483673095703,BGC0001194,PKS,fluvirucin B2,36
24,BGC0001311,Ruminococcus flavefaciens FD-1,RiPP,0.9920318725099602,37.74379329681396,14.729058265686035,BGC0002111,RiPP,flavecins,20
25,BGC0001115,Pseudoalteromonas sp. SANK 73390,hybrid,0.9920318725099602,38.47474136352539,33.69446563720703,BGC0000174,PKS,thiomarinol,37
26,BGC0001845,Streptomyces sp. CBMAI 2042,hybrid,0.9909453096704093,38.12044830322266,34.127986907958984,BGC0001846,NRPS,alpiniamide,9
27,BGC0002111,Bacillus thuringiensis serovar andalousiensis NRRL B-23139,RiPP,0.9905831220572257,31.45492649078369,8.44619369506836,BGC0002701,RiPP,andalusicin A;andalusicin B,11
28,BGC0000561,Streptococcus thermophilus,RiPP,0.9898587468308584,32.7785400390625,24.537891387939453,BGC0002579,RiPP,thermophilin 1277,20
29,BGC0000663,Streptomyces coelicolor A3(2),terpene,0.9898587468308584,32.87636947631836,24.77511215209961,BGC0000948,other,hopene,13
30,BGC0002676,Streptomyces anulatus,NRPS,0.989315465411083,30.6676456451416,22.593341827392578,BGC0002378,NRPS,skyllamycin D;skyllamycin E,76
31,BGC0002813,Acanthopleuribacter pedis KCTC 12899,hybrid,0.989315465411083,32.396222305297854,29.51902961730957,BGC0001823,hybrid,phorbactazole A;phorbactazole B;phorbactazole C;phorbactazole D;phorbactazole E;phorbactazole F,13
32,BGC0002701,Paenibacillus thiaminolyticus,RiPP,0.9885910901847157,27.81351661682129,8.44619369506836,BGC0002111,RiPP,paenithipeptin,11
33,BGC0001792,Streptomyces albidoflavus,NRPS,0.9885910901847157,32.17011756896973,30.185754776000977,BGC0002572,hybrid,surugamide A;surugamide D,21
34,BGC0001313,Arabidopsis thaliana,terpene,0.9876856211517566,28.99496078491211,24.054174423217773,BGC0002395,terpene,arabidiol-baruol,30
35,BGC0002142,Amycolatopsis sp. CA-230715,PKS,0.987323433538573,28.508108139038086,23.04669952392578,BGC0001944,PKS,gargantulide B;gargantulide C,38
36,BGC0001884,Fischerella sp. PCC 9339,hybrid,0.9871423397319812,29.6106315612793,28.521207809448242,BGC0000128,PKS,aranazole A;aranazole B;aranazole C;aranazole D,16
37,BGC0002873,Burkholderia gladioli BCC0238,PKS,0.9864179645056139,27.252836990356446,17.10154914855957,BGC0002385,PKS,gladiolin;iso-gladiolin,56
38,BGC0001111,Stigmatella aurantiaca Sg a15,hybrid,0.9860557768924303,28.28833999633789,27.268226623535156,BGC0001110,hybrid,rhizopodin,13
39,BGC0001470,Brevibacillus sp. Leaf182,PKS,0.9856935892792467,26.900560760498045,23.405935287475586,BGC0001772,PKS,macrobrevin,15
40,BGC0000459,Streptomyces griseoviridis,hybrid,0.985331401666063,27.435794067382812,25.564319610595703,BGC0001230,hybrid,griseoviridin;fijimycin A,36
41,BGC0001644,Gynuella sunshinyii YC6258,PKS,0.9849692140528794,26.357382202148436,24.525897979736328,BGC0001470,PKS,lacunalide A;lacunalide B,21
42,BGC0001324,Solanum pimpinellifolium,terpene,0.9849692140528794,23.936561250686644,3.781813859939575,BGC0001322,terpene,monoterpenes-diterpenes,14
43,BGC0002686,Actinomadura sp. WMMA1423,NRPS,0.9847881202462876,25.401589012145998,15.977892875671387,BGC0001813,NRPS,madurastatin D1;madurastatin D2;(-)-Madurastatin C1,81
44,BGC0001322,Solanum lycopersicum,terpene,0.9842448388265121,23.550281953811645,3.781813859939575,BGC0001324,terpene,lycosantalonol;β-phellandrene,15
45,BGC0001093,Sorangium cellulosum,hybrid,0.9840637450199203,26.854613876342775,25.587932586669922,BGC0000951,NRPS,disorazol A,21
46,BGC0002671,Verrucosispora sp.,PKS,0.9840637450199203,25.73949089050293,22.197982788085938,BGC0001813,NRPS,kendomycin B,33
47,BGC0000081,Streptoalloteichus sp. ATCC 53650,hybrid,0.9840637450199203,26.277790832519532,23.945602416992188,BGC0001584,PKS,kedarcidin,115
48,BGC0002814,Acanthopleuribacter pedis KCTC 12899,hybrid,0.9837015574067367,26.78870735168457,25.065771102905273,BGC0000967,hybrid,21-methoxy-calyculinamide,22
49,BGC0002568,Streptomyces scabiei 87.22,other,0.9835204636001449,26.058688735961915,21.71126365661621,BGC0000564,RiPP,Ethylenediaminesuccinic acid hydroxyarginine,9
50,BGC0000350,uncultured organism,NRPS,0.982433900760594,25.141911697387695,20.437498092651367,BGC0001044,NRPS,ET-743,25
51,BGC0001813,Streptomyces sp. NRRL WC-3703,NRPS,0.9820717131474104,23.834781455993653,15.977892875671387,BGC0002686,NRPS,tyrobetaine,16
52,BGC0001101,Streptomyces atroolivaceus,hybrid,0.9818906193408186,25.04611701965332,20.42754554748535,BGC0002919,NRPS,leinamycin,71
53,BGC0002068,Labrenzia sp. PHM005,hybrid,0.980441868888084,24.08159637451172,21.241666793823242,BGC0001116,hybrid,labrenzin,25
54,BGC0001772,Anabaena sp. UHCC 0451,PKS,0.980441868888084,23.27535972595215,14.512260437011719,BGC0001656,PKS,scytophycin,18
55,BGC0000002,Kutzneria albida DSM 43870,PKS,0.980441868888084,24.262319564819336,23.08709716796875,BGC0000151,PKS,aculeximycin,34
56,BGC0002919,Streptomyces cirratus 248-Sq2,NRPS,0.9802607750814922,23.507300567626952,20.42754554748535,BGC0001101,hybrid,Cirratiomycin A;Cirratiomycin B,64
57,BGC0001963,Catenulispora sp.,PKS,0.9793553060485332,23.876741409301758,23.174407958984375,BGC0002376,PKS,catenulisporolide A;catenulisporolide B;catenulisporolide C;catenulisporolide D,56
58,BGC0001753,Streptomyces globisporus subsp. globisporus,RiPP,0.9788120246287577,22.775738143920897,20.09992790222168,BGC0000470,RiPP,radamycin;globimycin,18
59,BGC0001656,Planktothrix paucivesiculata PCC 9631,PKS,0.9786309308221659,21.549271011352538,14.512260437011719,BGC0001772,PKS,luminaolide ;luminaolide B,30
60,BGC0000174,Candidatus Endobugula sertula,PKS,0.977544367982615,23.474660873413086,22.54031753540039,BGC0000173,PKS,bryostatin,5
61,BGC0001108,Uncultured bacterium,hybrid,0.9773632741760232,23.005713653564452,21.37053108215332,BGC0001110,hybrid,pederin;pseudopederin;pederone,16
62,BGC0002011,Amycolatopsis alba DSM 44262,PKS,0.9771821803694314,22.47097854614258,20.25643539428711,BGC0000085,PKS,ansacarbamitocin A,69
63,BGC0001836,Gynuella sunshinyii YC6258,PKS,0.9771821803694314,21.46145133972168,17.291568756103516,BGC0001116,hybrid,tartrolon D;tartrolon F;tartrolon G,16
64,BGC0001157,Streptomyces scabiei 87.22,RiPP,0.9771821803694314,22.727336883544922,21.00609588623047,BGC0000218,PKS,bottromycin A2,13
65,BGC0001287,Streptomyces leeuwenhoekii,PKS,0.9768199927562478,22.96109848022461,21.508636474609375,BGC0002552,PKS,chaxamycin A;chaxamycin B;chaxamycin C;chaxamycin D,29
66,BGC0002385,Streptomyces sp.,PKS,0.9757334299166969,21.8838809967041,17.10154914855957,BGC0002873,PKS,dumulmycin,21
67,BGC0001058,Streptomyces flavoviridis,hybrid,0.9757334299166969,21.561692810058595,13.943307876586914,BGC0000963,hybrid,zorbamycin,48
68,BGC0002014,Actinobacteria bacterium OK006,hybrid,0.9753712423035132,21.05711441040039,10.764129638671875,BGC0002378,NRPS,pepticinnamin E,31
69,BGC0001944,Streptosporangium sp.,PKS,0.9748279608837378,21.250228309631346,14.856202125549316,BGC0000034,hybrid,funisamine,40
70,BGC0002072,Streptomyces sp. Mg1,PKS,0.9742846794639624,19.097131538391114,10.544154167175293,BGC0002356,PKS,linearmycin A;linearmycin B;linearmycin C;linearmycin C,27
71,BGC0001851,Streptomyces erythrochromogenes,PKS,0.9742846794639624,18.51464370265603,0.04629819467663765,BGC0001852,PKS,komodoquinone B,41
72,BGC0001852,Streptomyces sp. NRRL S-378,PKS,0.9739224918507787,18.51131766811013,0.04629819467663765,BGC0001851,PKS,komodoquinone B,42
73,BGC0001189,Cupriavidus taiwanensis LMG 19424,NRPS,0.9737413980441869,20.546107482910156,17.083539962768555,BGC0002079,NRPS,taiwachelin,18
74,BGC0000093,Streptomyces nanchangensis,PKS,0.9737413980441869,21.090021514892577,19.66736602783203,BGC0000042,PKS,meilingmycin;Meilingmycin A;Meilingmycin B;Meilingmycin E;Meilingmycin D;Meilingmycin C,92
75,BGC0001364,Actinomadura atramentaria DSM 43919,RiPP,0.9735603042375951,21.227809143066406,20.207874298095703,BGC0000528,RiPP,cinnamycin B,19
76,BGC0002356,Streptomyces blastmyceticus,PKS,0.9735603042375951,18.933605766296388,10.544154167175293,BGC0002072,PKS,mediomycin A,25
77,BGC0000347,Streptococcus equi subsp. equi,NRPS,0.9731981166244115,20.81019706726074,19.988357543945312,BGC0001189,NRPS,equibactin,14
78,BGC0002378,Streptomyces sp.,NRPS,0.9730170228178197,19.832629013061524,10.764129638671875,BGC0002014,hybrid,coprisamide C;coprisamide D,23
79,BGC0001312,Pseudomonas fluorescens SBW25,NRPS,0.972654835204636,19.778849411010743,15.176822662353516,BGC0000564,RiPP,viscosin,16
80,BGC0001877,Streptomyces sp. ISID311,PKS,0.9719304599782688,20.431796646118165,19.389373779296875,BGC0000151,PKS,cyphomycin,72
81,BGC0003042,Streptomyces ginsengnesis G7,hybrid,0.9708438971387179,20.23406639099121,19.571165084838867,BGC0001877,PKS,lydicamycin,72
82,BGC0000184,Sorangium cellulosum,PKS,0.9706628033321261,19.492601776123045,16.947620391845703,BGC0002374,PKS,sorangicin A,23
83,BGC0002085,Micromonospora carbonacea,other,0.9706628033321261,19.451851272583006,18.10848617553711,BGC0002088,PKS,everninomicin D;everninomicin E;everninomicin G;everninomicin F,50
84,BGC0001823,Streptomyces sp. CB02120-2,hybrid,0.9706628033321261,19.022067260742187,17.263587951660156,BGC0001301,PKS,weishanmycin,31
85,BGC0001471,Amycolatopsis saalfeldensis,RiPP,0.9704817095255343,19.71290283203125,18.23457908630371,BGC0000470,RiPP,saalfelduracin,23
86,BGC0000948,Bacteroides fragilis NCTC 9343,other,0.9695762404925752,19.44957733154297,17.73269271850586,BGC0002657,hybrid,α-galactosylceramide,2
87,BGC0001321,Solanum habrochaites,terpene,0.9693951466859834,18.418441009521484,14.852709770202637,BGC0001322,terpene,monoterpenes-diterpenes,14
88,BGC0001116,Streptomyces virginiae,hybrid,0.9684896776530243,18.65173797607422,16.388938903808594,BGC0001091,hybrid,virginiamycin S1,18
89,BGC0000137,Salinispora arenicola CNS-205,PKS,0.9681274900398407,18.63084602355957,14.79043960571289,BGC0003143,PKS,rifamycin,39
90,BGC0002361,Streptomyces sp. IB201691-2A2,PKS,0.967765302426657,17.721587944030762,10.86150074005127,BGC0000241,PKS,baikalomycin B;baikalomycin A;baikalomycin C,32
91,BGC0002060,Pseudomonas syringae pv. syringae B728a,PKS,0.9670409272002898,18.860798645019532,18.444108963012695,BGC0001094,hybrid,secimide,25
92,BGC0002552,Amycolatopsis sp. CP2808,PKS,0.9666787395871062,18.36153793334961,16.312889099121094,BGC0002114,hybrid,ansacarbamitocin,48
93,BGC0002079,uncultured bacterium,NRPS,0.9661354581673307,18.20818977355957,16.523136138916016,BGC0002588,other,omnipeptin,42
94,BGC0001619,Streptomyces sp. WAC2288,PKS,0.9659543643607389,18.488911819458007,17.160503387451172,BGC0000162,PKS,ibomycin,41
95,BGC0000151,Streptomyces ambofaciens ATCC 23877,PKS,0.9657732705541471,17.717345809936525,16.015241622924805,BGC0002356,PKS,stambomycin A;stambomycin B;stambomycin C;stambomycin D,25
96,BGC0000163,Streptomyces longisporoflavus,PKS,0.9655921767475553,17.89298458099365,13.96907901763916,BGC0000164,PKS,tetronasin,52
97,BGC0000186,Burkholderia thailandensis E264,hybrid,0.9654110829409634,17.614382934570312,12.89065170288086,BGC0001025,hybrid,thailandamide;thailandamide lactone,19
98,BGC0001063,Streptomyces coelicolor A3(2),hybrid,0.9641434262948207,18.260667419433595,17.88416290283203,BGC0001154,other,undecylprodigiosin,22
99,BGC0000628,Lactobacillus paragasseri JV-V03,RiPP,0.9637812386816371,17.793325424194336,16.460018157958984,BGC0002144,RiPP,lactocillin,14
100,BGC0002033,Streptomyces ambofaciens ATCC 23877,PKS,0.9636001448750453,18.001341247558592,17.46217918395996,BGC0000047,PKS,spiramycin,45
101,BGC0000198,Salinispora arenicola CNB527,PKS,0.9632379572618617,16.314962768554686,11.373489379882812,BGC0002045,PKS,arenimycin A,42
102,BGC0000241,Salinispora tropica CNB-440,PKS,0.9630568634552699,16.96898250579834,10.86150074005127,BGC0002361,PKS,lomaiviticin A;lomaiviticin C;lomaiviticin D;lomaiviticin E,58
103,BGC0001687,uncultured bacterium CSL12,other,0.962875769648678,17.60902042388916,14.209784507751465,BGC0001992,other,N-tetradecanoyl tyrosine,32
104,BGC0002431,Actinomadura sp.,PKS,0.962875769648678,17.306178855895997,15.194292068481445,BGC0002526,PKS,maduramicin,38
105,BGC0002526,Streptomyces sp.,PKS,0.962875769648678,17.444890594482423,15.194292068481445,BGC0002431,PKS,K-41A,41
106,BGC0002520,Micromonospora sp.,PKS,0.961970300615719,16.561759757995606,14.260309219360352,BGC0001662,PKS,quinolidomicin A,59
107,BGC0002665,Pseudomonas syringae pv. maculicola str. ES4326,RiPP,0.9617892068091272,17.589091491699218,16.39117431640625,BGC0001991,PKS,3-thiaglutamate,8
108,BGC0000148,Saccharopolyspora spinosa,PKS,0.9617892068091272,17.591660690307616,17.07194709777832,BGC0001742,PKS,A83543A;Spinosyn D,23
109,BGC0000413,Pseudomonas protegens Pf-5,NRPS,0.9603404563563926,17.153567504882812,16.19409942626953,BGC0003023,NRPS,Pf-5 pyoverdine,109
110,BGC0001106,Streptomyces albus,hybrid,0.9601593625498008,17.568260192871094,17.42176628112793,BGC0000995,hybrid,oxazolomycin,22
111,BGC0001846,Streptomyces sp. CBMAI 2042,NRPS,0.9594349873234336,16.768865966796874,16.056543350219727,BGC0001818,NRPS,valinomycin;montanastatin,23
112,BGC0001025,Myxococcus xanthus DK 1622,hybrid,0.9594349873234336,16.36426773071289,12.89065170288086,BGC0000186,hybrid,myxovirescin A1,23
113,BGC0001070,Streptomyces collinus Tu 365,hybrid,0.95907279971025,16.765738868713377,15.672173500061035,BGC0000995,hybrid,kirromycin,26
114,BGC0000021,Nocardiopsis sp. FU 40,PKS,0.9581673306772909,16.98821029663086,16.599430084228516,BGC0002454,PKS,apoptolidin,39
115,BGC0002677,Nostoc punctiforme PCC 73102,other,0.9578051430641072,16.471781158447264,15.677789688110352,BGC0000976,hybrid,nostoclide N1;nostoclide N2,18
116,BGC0002498,Streptomyces sp.,other,0.9578051430641072,16.01399784088135,14.223039627075195,BGC0000052,PKS,desulfoclethramycin;clethramycin,49
117,BGC0002350,Streptomyces mobaraensis NBRC 13819 = DSM 40847,hybrid,0.9578051430641072,16.67598533630371,16.191761016845703,BGC0002815,hybrid,bleomycin A2;bleomycin B2,41
118,BGC0002931,Streptomyces sp. CS113,hybrid,0.9574429554509236,16.643704414367676,15.59053897857666,BGC0002411,hybrid,Diperamycin,27
119,BGC0002296,Moorena producens ASI16Jul14-2,hybrid,0.9567185802245564,15.701263999938964,12.653560638427734,BGC0001970,hybrid,vatiamide A;vatiamide B;vatiamide C;vatiamide D;vatiamide E;vatiamide F,30
120,BGC0001795,Nostoc sp. UHCC 0450,PKS,0.9567185802245564,14.858037376403809,3.344235420227051,BGC0001186,PKS,swinholide A,7
121,BGC0003143,Amycolatopsis  sp.  PS_44_ISF1,PKS,0.9559942049981891,16.35450897216797,14.79043960571289,BGC0000137,PKS,Ciromicin A,39
122,BGC0001381,Nocardia terpenica,PKS,0.9558131111915973,16.271279525756835,14.691011428833008,BGC0001042,hybrid,brasilinolide A;brasilinolide B;brasilinolide C,101
123,BGC0001807,Streptomyces pactum,hybrid,0.9549076421586382,16.516201782226563,16.268768310546875,BGC0002867,PKS,totopotensamide A;totopotensamide B,39
124,BGC0001301,Streptomyces sp. T676,PKS,0.9538210793190873,15.67644214630127,14.298868179321289,BGC0000185,PKS,anthracimycin,9
125,BGC0000564,Clostridium botulinum A str. ATCC 3502,RiPP,0.9538210793190873,15.908648681640624,14.594762802124023,BGC0000551,RiPP,clostridiolysin S,9
126,BGC0000085,Streptomyces rochei,PKS,0.9536399855124955,16.1420991897583,14.878052711486816,BGC0000054,PKS,lankamycin,30
127,BGC0002136,Gynuella sunshinyii YC6258,hybrid,0.9534588917059037,15.775515174865722,14.754541397094727,BGC0002087,hybrid,janustatin A;janustatin A';janustatin B;janustatin C,46
128,BGC0000078,Streptomyces sp. ML694-90F3,PKS,0.9530967040927201,15.734914398193359,14.198859214782715,BGC0002550,PKS,incednine,75
129,BGC0002045,Streptomonospora sp. PA3,PKS,0.9530967040927201,14.812735557556152,11.373489379882812,BGC0000198,PKS,persiamycin A,38
130,BGC0001396,Streptomyces sp. A1(2016),PKS,0.9529156102861283,15.403467750549316,10.788229942321777,BGC0001931,PKS,aldgamycin J;aldgamycin K;aldgamycin P;aldgamycin E,38
131,BGC0000130,Streptomyces vitaminophilus,PKS,0.9525534226729446,14.777721786499024,11.426440238952637,BGC0001159,hybrid,pyrrolomycin A;pyrrolomycin B;pyrrolomycin C;pyrrolomycin D,35
132,BGC0002009,Amycolatopsis vancoresmycina,PKS,0.9523723288663528,15.660252952575684,14.407341003417969,BGC0002517,PKS,kanglemycin A;kanglemycin V1;kanglemycin V2,45
133,BGC0001072,Streptomyces antibioticus,PKS,0.9523723288663528,16.06242961883545,15.837634086608887,BGC0000133,PKS,simocyclinone D8,50
134,BGC0002377,Streptomyces sp. SNM55,NRPS,0.9523723288663528,15.948041725158692,15.060869216918945,BGC0000445,NRPS,WS9326B;WS9326A;WS9326G;WS9326F,40
135,BGC0001740,Streptomyces avermitilis,hybrid,0.9520101412531692,14.915166854858398,11.72806453704834,BGC0002451,PKS,phthoxazolin,43
136,BGC0002056,sponge metagenome,hybrid,0.9511046722202101,15.52263240814209,14.521440505981445,BGC0001109,hybrid,peloruside A,5
137,BGC0002101,Streptomyces sp. CMB-0406 CBM-0406,PKS,0.9498370155740674,14.46011848449707,11.32796573638916,BGC0000097,PKS,heronamide C;heronamide A;heronamide B,21
138,BGC0001186,Candidatus Entotheonella serta,PKS,0.9496559217674756,13.999379730224609,3.344235420227051,BGC0001795,PKS,misakinolide A,25
139,BGC0001856,Streptomyces caniferus,PKS,0.9496559217674756,15.022694206237793,12.92941665649414,BGC0002523,NRPS,caniferolide A;caniferolide B;caniferolide C;caniferolide D,62
140,BGC0002373,Streptomyces sp.,NRPS,0.9494748279608838,15.65088348388672,14.909051895141602,BGC0000376,NRPS,bonnevillamide D;bonnevillamide E,30
141,BGC0000176,Bacillus velezensis FZB42,PKS,0.9489315465411083,14.622492027282714,11.931921005249023,BGC0001089,hybrid,difficidin,15
142,BGC0002046,Gynuella sunshinyii YC6258,hybrid,0.9489315465411083,14.678712844848633,12.364897727966309,BGC0002055,hybrid,lobatamide A,21
143,BGC0001288,Micromonospora sp. GMKU326,PKS,0.9489315465411083,14.916933250427245,12.81650161743164,BGC0001700,PKS,maklamicin,46
144,BGC0001782,Streptomyces sp. SCSIO 03032,other,0.9485693589279247,15.002999305725098,13.14930248260498,BGC0002657,hybrid,spiroindimicin A;spiroindimicin B;spiroindimicin C;spiroindimicin D;indimicin A;indimicin B;indimicin C;indimicin D;indimicin E;lynamicin A,33
145,BGC0002119,Candidatus Synoicihabitans palmerolidicus,hybrid,0.947301702281782,13.713150691986083,6.426720142364502,BGC0002118,hybrid,palmerolide D;palmerolide H,31
146,BGC0002735,Streptomyces incarnatus,hybrid,0.9465773270554148,14.735811614990235,11.876715660095215,BGC0001036,hybrid,incarnatapeptin A;incarnatapeptin B;dentigerumycin F;dentigerumycin G,20
147,BGC0000963,Streptomyces verticillus,hybrid,0.9463962332488229,14.853521537780761,13.905238151550293,BGC0002654,NRPS,bleomycin,32
148,BGC0001045,Pseudomonas sp. Q71576,hybrid,0.9458529518290475,14.835121726989746,13.513118743896484,BGC0001019,hybrid,spiruchostatin A,16
149,BGC0001036,Streptomyces sp. MK498-98F14,hybrid,0.9456718580224557,14.520545959472656,11.876715660095215,BGC0002735,hybrid,polyoxypeptin,37
150,BGC0000437,Pseudomonas syringae pv. syringae B728a,NRPS,0.9451285766026802,14.331233596801757,12.429279327392578,BGC0001416,NRPS,syringomycin,17
151,BGC0002914,Okeania sp. VPG18-21 ,NRPS,0.9447663889894966,14.38451328277588,12.845784187316895,BGC0002293,NRPS,lyngbyastatin 1;lyngbyastatin 3,6
152,BGC0001091,Corallococcus coralloides,hybrid,0.9442231075697212,13.8854190826416,10.852478981018066,BGC0002451,PKS,corallopyronin,16
153,BGC0002867,Penicillium  meliponae  MMSRG-058,PKS,0.9438609199565375,14.746153831481934,14.296396255493164,BGC0001756,terpene,chlorogeumsanol B;7-deacetylisochromophilone VI;isochromophilone VI;ochrephilone;isorotiorin;Sclerotiorin;geumsanol B,22
154,BGC0001761,Sorangium cellulosum,PKS,0.9438609199565375,14.451224517822265,13.574393272399902,BGC0001543,PKS,ripostatin A;ripostatin B;ripostatin C,18
155,BGC0000976,Moorea producens 3L,hybrid,0.9438609199565375,14.302217864990235,13.191515922546387,BGC0001022,hybrid,curacin A,15
156,BGC0002088,Micromonospora carbonacea africana,PKS,0.9433176385367621,13.832335090637207,12.046561241149902,BGC0000026,other,everninomicin A,44
157,BGC0001931,unidentified unclassified sequences.,PKS,0.9429554509235785,14.251550102233887,10.788229942321777,BGC0001396,PKS,carrimycin,45
158,BGC0002032,Streptomyces sp. S816,PKS,0.9427743571169866,14.317093658447266,11.784905433654785,BGC0002789,PKS,pentamycin,15
159,BGC0002357,Streptomyces sp. RK95-74,PKS,0.9427743571169866,12.621926879882812,7.475756645202637,BGC0001662,PKS,neomediomycin B,28
160,BGC0002050,Burkholderia sp. B8(2020),hybrid,0.9416877942774358,13.833156967163086,11.704367637634277,BGC0001383,PKS,necroxime A;necroxime B;necroxime C;necroxime D,11
161,BGC0002355,Streptomyces neyagawaensis,PKS,0.9411445128576603,13.433627128601074,10.450056076049805,BGC0000052,PKS,tetrafibricin,9
162,BGC0000034,Streptomyces sp. FR-008,hybrid,0.9411445128576603,13.873966789245605,11.20505428314209,BGC0002333,PKS,candicidin,21
163,BGC0002038,Streptomyces sp. DASNCL29,PKS,0.9407823252444767,14.16391429901123,11.688258171081543,BGC0001040,hybrid,nigericin,30
164,BGC0001053,Archangium disciforme,hybrid,0.9402390438247012,13.907200050354003,10.57824993133545,BGC0001344,hybrid,tubulysin A,32
165,BGC0001071,Nostoc sp. 'Peltigera membranacea cyanobiont',hybrid,0.9402390438247012,14.24252109527588,13.614789009094238,BGC0001564,hybrid,nosperin,13
166,BGC0000082,Actinomadura kijaniata,PKS,0.9400579500181094,13.345407104492187,9.821516990661621,BGC0001004,PKS,kijanimicin,43
167,BGC0000967,uncultured Candidatus Entotheonella sp.,hybrid,0.939514668598334,13.65139560699463,10.92213249206543,BGC0002153,PKS,calyculin A;phosphocalyculin A;calyculinamide A;dephosphonocalyculin A,25
168,BGC0002713,Photorhabdus laumondii subsp. laumondii,NRPS,0.939514668598334,14.367669105529785,14.230159759521484,BGC0001602,RiPP,mevalagmapeptide A;mevalagmapeptide B;mevalagmapeptide C;mevalagmapeptide D,42
169,BGC0001800,Candidatus Entotheonella serta,hybrid,0.9393335747917422,14.368868637084962,14.166844367980957,BGC0001822,NRPS,theonellamide,14
170,BGC0000164,Streptomyces sp. NRRL 11266,PKS,0.9391524809851504,13.909628677368165,12.915030479431152,BGC0000109,PKS,tetronomycin,33
171,BGC0000042,Streptomyces sp. MJ635-86F5,PKS,0.9391524809851504,14.126904487609863,13.237311363220215,BGC0002454,PKS,cremimycin,40
172,BGC0002340,Streptomyces sp. CB02980,NRPS,0.9389713871785585,14.24889850616455,13.068990707397461,BGC0001818,NRPS,pyrroloformamide A;pyrroloformamide B;pyrroloformamide D;pyrroloformamide C,24
